,ID,Title,URL,Dates,Date Range,Description,Subjects_one,Subjects_two,Subjects_three,Subjects_four,Subjects_five,Subjects_six,Subjects_seven,Subjects_eight,Subjects_nine,Subjects_ten,Subjects_eleven,Subjects_twelve,Subjects_grouped,Location_one,Location_two,Location_three,Location_four,Location_five,Locations_grouped
0,7da2807b9738bdcc14a7779aed01890b," 'Immigration laws : rules of May 1, 1917 : amendments to rules 4, 9, 10, 12, 22, and 31', 'Immigration laws' ",http://catalog.hathitrust.org/Record/100346966,1921,1920-1930," 'Includes index.', '""December, 1920""', '""Act of February 5, 1917; and Acts approved October 16, 1918, October 19, 1918; May 10, 1920; June 5, 1920 and December 26, 1920""' ",   Emigration and immigration law--United States  ,,,,,,,,,,,,   Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
1,d659dfc806ec6fe1665247c0506ca7cb," 'Immigration laws : Act of Feb. 5, 1917, and acts approved Oct. 16, 1918, Oct. 19, 1918, May 10, 1920, June 5, 1920, Dec. 26, 1920, and May 19, 1921 as amended, and Act May 26, 1922 ; Rules of May 1, 1917' ",http://catalog.hathitrust.org/Record/100347317,1922,1920-1930," 'Includes amendments to Rules 10, 22, 28, and 35, and Regulations under acts approved May 19, 1921, and May 9, 1918.', 'At head of title: U.S. Department of labor ... Bureau of immigration ...' ",,,,,,,,,,,,,,nan,,,,,nan
2,13f75136926c493d62935d729cd3453d," 'Draft of proposed tenement house law Second revision, including all of the changes decided upon at the last meeting of the State Housing Institute ..., Commission of Immigration and Housing of California...', 'Laws, etc' ",http://catalog.hathitrust.org/Record/100577066,1916,1910-1920, 'Blank pages interspersed.' ,   Working class--Dwellings  ,    Tenement houses--California  ,,,,,,,,,,,   Working class--Dwellings      Tenement houses--California  ,   California  ,,,,,   California  
3,af5ed11f3ed51062a5bd968411043d46," 'Overproduction : in its relation to our anti-trust immigration, and protective tariff laws' ",http://catalog.hathitrust.org/Record/006595224,1927,1920-1930,,   Overproduction  ,,,,,,,,,,,,   Overproduction  ,nan,,,,,nan
4,1360341b5d0d36430d83b0c7af87f456," 'The problem of the immigrant : a brief discussion, with a summary of conditions, laws, and regulations governing the movement of population to and from the British empire, United States, France, Belgium, Switzerland, Germany, Italy, Austria-Hungary, Spain, Portugal, Netherlands, Denmark, Scandinavia and Russia' ",http://catalog.hathitrust.org/Record/001151885,1905,1900-1910, 'Includes index.' ,   Emigration and immigration  ,,,,,,,,,,,,   Emigration and immigration  ,nan,,,,,nan
5,238bbb2f1782d6ccccc0f8ef21fda0a2," 'Immigration laws and regulations of July 1, 1907' ",http://catalog.hathitrust.org/Record/100765988,1909,1900-1910, 'At head of title: Department of commerce and labor. Bureau of immigration and naturalization.' ,   United States. Bureau of Immigration and Naturalization  ,    Emigration and immigration  ,    United States  ,    United States--Emigration and immigration  ,,,,,,,,,   United States. Bureau of Immigration and Naturalization      Emigration and immigration      United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
6,17a56062713679197db533db42b7bacb," 'H.R. 4534, in the House of Representatives December 6, 1905, Mr. Knowland introduced the following bill, which was referred to the Committee on Immigration and Naturalization and ordered to be printed : a bill to amend the immigration laws of the United States' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100011080203941,1905? ,," 'Caption title.', 'At head of title: 59th Congress, 1st session.' ",   Emigration and immigration law  ,    Poll tax  ,    Emigration and immigration  ,,,,,,,,,,   Emigration and immigration law      Poll tax      Emigration and immigration  ,   United States  ,,,,,   United States  
7,5ef6685ad02250111f97f05bdf4fdc51," 'H.R. 58 (report no. 3803) in the House of Representatives December 18, 1889, read twice, referred to the Committee on the Judiciary, and ordered to be printed : February 14, 1891, reported to the Committee on the Whole House on the state of the Union, and ordered to be printed : Mr. Oates introduced the following bill : a bill to regulate immigration and to amend the naturalization laws of the United States' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990111894400203941,1891,1890-1900," 'Caption title.', 'At head of title: 51st Congress, 2d session.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
8,ac17272bc67c7569385caf2174862275," 'Letter from the Secretary of the Treasury transmitting additional information relative to evasions and violations of the laws for the exclusion of Chinese laborers, embodied in a report of D.A. Coon, special inspector at San Diego, Cal. : May 14, 1890, referred to the Committee on Immigration and ordered to be printed' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990112882600203941,1890,1890-1900," 'Caption title.', 'At head of title: 51st Congress, 1st session.', 'Transmittal letter signed: W. Windom, Secretary.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,    China  ,,,,   United States      China  
9,d38ccbdf25f24fd332b3824dc7a9215c," 'H.R. 8460, in the House of Representatives December 15, 1905, Mr. Goulden introduced the following bill, which was referred to the Committee on Immigration and Naturalization and ordered to be printed : a bill to amend the immigration laws and regulations approved March third, nineteen hundred and three, entitled ""an Act to regulate the immigration of aliens into the United States.""' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100031190203941,1905? ,," 'Caption title.', 'At head of title: 59th Congress, 1st session.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
10,d83c7e5051a624025b0df8ff7ce6e985," ""H.R. 13605 (report no. 2751), in the House of Representatives January 16, 1901, Mr. O'Grady introduced the following bill, which was referred to the Committee on Immigration and Naturalization and ordered to be printed : A bill to amend immigration laws of the United States relative to the insane, idiotic, and epileptic"" ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100035110203941,1901,1900-1910," 'Caption title.', 'At head of title: 56th Congress, 2d session.', '""February 8, 1901.--Reported with amendments, referred to the House Calendar, and ordered to be printed""--p.  1 .' ",   Mentally ill  ,    Immigrants  ,    Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,   Mentally ill      Immigrants      Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
11,f84880634f789ec112429200c71ce79d," 'H.R. 5107, in the House of Representatives January 9, 1894, referred to the Committee on Immigration and Naturalization and ordered to be printed : Mr. Lockwood introduced the following bill : a bill for the necessary and better protection of American labor and enforcement of the law of domicile and the restriction of immigration' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100082320203941,1894,1890-1900," 'Caption title.', 'At head of title: 53d Congress, 2d session.' ",   Emigration and immigration law  ,    Foreign workers  ,    Government policy  ,    Domicile  ,    Emigration and immigration  ,,,,,,,,   Emigration and immigration law      Foreign workers      Government policy      Domicile      Emigration and immigration  ,   United States  ,,,,,   United States  
12,7d13dec5ae3369e269693fbc8f9263d3," 'S. 153, in the Senate of the United States December 4, 1901, Mr. Stewart introduced the following bill, which was read twice and referred to the Committee on Immigration : a bill to continue in force laws prohibiting the coming of Chinese into the United States' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100125000203941,1901,1900-1910," 'Caption title.', 'At head of title: 57th Congress, 1st session.' ",   Chinese  ,    Immigrants  ,    Emigration and immigration  ,,,,,,,,,,   Chinese      Immigrants      Emigration and immigration  ,   United States  ,    China  ,,,,   United States      China  
13,125ae2a04ec74c296bcacb44c7da4d44," 'Restriction of western hemisphere immigration. : Hearings before the Committee on immigration, United States Senate, Seventieth Congress, first session, on S. 1296, a bill to amend the Immigration act of 1924; S. 1437, a bill to subject certain immigrants, born in countries of the western hemisphere, to the quota under the immigration laws; S. 3019, a bill to amend the immigration laws and for other purposes. February 1, 27, 28, 29; March 1 and 5, 1928' ",http://catalog.hathitrust.org/Record/100663369,1928,1920-1930," 'Hiram W. Johnson, chairman.', 'Available also in microform in CIS US congressional committee hearings, accession number S299-3.' ",   United States--Emigration and immigration  ,,,,,,,,,,,,   United States--Emigration and immigration  ,   United States  ,,,,,   United States  
14,2ac038ff61b2cdb06313ef5b9cec6d5c," 'Immigration laws (Act of February 5, 1917) Rules of May 1, 1917' ",http://catalog.hathitrust.org/Record/100346967,1920,1920-1930, 'At head of titles: U.S. Dept. of Labor. Bureau of Immigration.' ,   United States--Emigration and immigration  ,,,,,,,,,,,,   United States--Emigration and immigration  ,   United States  ,,,,,   United States  
15,07be410fdac2c15742ef98d4c59a7ec9, 'Labor laws of the State of Utah : and laws relating to immigration and statistics' ,http://catalog.hathitrust.org/Record/100598122,1914,1910-1920," '""H. T. Haines, Commissioner"" -- t.p.', 'Includes index.', 'Description based on: 1913.' ",   Emigration and immigration law--Utah--Periodicals  ,    Labor laws and legislation--Utah--Periodicals  ,,,,,,,,,,,   Emigration and immigration law--Utah--Periodicals      Labor laws and legislation--Utah--Periodicals  ,   Utah  ,,,,,   Utah  
16,ef72e0f9015bd0bdd69c2013e124606c," 'Report of the Commission of immigration of the state of New York Appointed pursuant to the provisions of chapter 210 of the laws of 1908. Transmitted to the Legislature April 5, 1909' ",http://catalog.hathitrust.org/Record/001151929,1909,1900-1910," 'Louis Marshall, chairman.', 'Introduction.--General social condition of aliens.--Private banks.--Steamship ticket agencies.--Notaries public.--Relation of the alien to the administration of the civil and criminal law.--Naturalization.--Transportation.--Immigrant homes.--Education.--Distribution.--Recommendations.--Proposed bill creating a department of industries and immigration.--Memorandum by E. B. Whitney.--Appendices.' ",   Emigration and immigration  ,    New York (State)  ,    New York (State)--Emigration and immigration  ,,,,,,,,,,   Emigration and immigration      New York (State)      New York (State)--Emigration and immigration  ,   New York (State)  ,,,,,   New York (State)  
17,49c561851c7ea3b9b458afadee704167," 'Relief of judges in naturalization cases : hearings before the Committee on Immigration and Naturalization, House of Representatives, Sixty-ninth Congress, first session, on various bills to amend and supplement the naturalization laws, and for other purposes ... May 1, 1926' ",http://catalog.hathitrust.org/Record/100677147,1926,1920-1930," '""Hearing no. 69.1.14.""', 'Cover title.' ",   United States. Bureau of Immigration and Naturalization  ,    Naturalization--United States  ,    Judges--Selection and appointment--United States  ,,,,,,,,,,   United States. Bureau of Immigration and Naturalization      Naturalization--United States      Judges--Selection and appointment--United States  ,   United States  ,,,,,   United States  
18,ada4041dd3710b21dee23284c6577436," 'Immigration laws and regulations of July 1, 1907' ",http://catalog.hathitrust.org/Record/100766035,1908,1900-1910, 'At head of title: Department of commerce and labor. Bureau of immigration and naturalization.' ,   United States. Bureau of Immigration and Naturalization  ,    Emigration and immigration  ,    United States  ,    United States--Emigration and immigration  ,,,,,,,,,   United States. Bureau of Immigration and Naturalization      Emigration and immigration      United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
19,780e4a12bedfd9c0c7e6d885e7166b0b," 'Should Congress enact special laws affecting Japanese! A critical examination of the ""Hearings before the Committee on immigration and naturalization"", held in California, July 1920' ",http://catalog.hathitrust.org/Record/001755303,1922,1920-1930,,   Emigration and immigration law--United States  ,    Japanese--California  ,    Japanese--United States  ,,,,,,,,,,   Emigration and immigration law--United States      Japanese--California      Japanese--United States  ,   United States  ,    California  ,,,,   United States      California  
20,7c37ed2b98e856f1e3bfc5105eb53625," 'Immigration laws : rules of November 15, 1911' ",http://catalog.hathitrust.org/Record/101715380,1912,1910-1920," 'Includes index.', '""With amendments to subd. 2, rule 1; subd. 7, rule 11; subd. 8, rule 12; subd. 1 and 3, rule 14; and subd. 4(b), rule 22; amended footnotes, pages 21, 25, 32, 36, and 41.""', 'At head of title: Department of Commerce and Labor, Bureau of Immigration and Naturalization.', 'Cover title.' ",   Emigration and immigration law--United States  ,,,,,,,,,,,,   Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
21,e55e93e574e1e65765428ecef5cdc464, 'Application of contract-labor provisions of immigration laws to actors' ,http://catalog.hathitrust.org/Record/001437162,1933,1920-1930,,   Contract labor--United States  ,    Emigration and immigration law--United States  ,    Actors  ,    Theater--United States  ,,,,,,,,,   Contract labor--United States      Emigration and immigration law--United States      Actors      Theater--United States  ,   United States  ,,,,,   United States  
22,3f40c2b1a95342614567e417a5d2039a," 'Immigration legislation : 1. Federal immigration legislation. 2. Digest of immigration decisions. 3. Steerage legislation, 1819-1908. 4. State immigration and alien laws' ",http://catalog.hathitrust.org/Record/100765996,1911,1910-1920," 'Prepared under the direction of the commission by Frank L. Shaw.', 'William P. Dillingham, chairman.' ",   Emigration and immigration law  ,    Emigration and immigration  ,    Emigration and immigration law--United States  ,    United States  ,    United States--Emigration and immigration  ,,,,,,,,   Emigration and immigration law      Emigration and immigration      Emigration and immigration law--United States      United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
